Dafydd ab Hugh, 1960-10-22, Los Angeles, California, , 
Alexander Abasheli, August 15, 1884, , September 27, 1954, 
Edwin Abbott Abbott, 1838-12-20, , 1926-10-12, 
Kōbō Abe, March 7, 1924, Tokyo, Japan, January 22, 1993, 
Robert Abernathy, , , , 
Dan Abnett, 1965-10-12, , , 
Daniel Abraham (author), , science-fiction, , 
Forrest J Ackerman, November 24, 1916, , December 4, 2008, 
Douglas Adams, 1952-03-11, , 2001-05-11, 
Robert Adams (science fiction writer), August 31, 1933, , January 4, 1990, 
Ann Aguirre, , , , 
Jerry Ahern, , , , 
Humayun Ahmed, 1948-11-13, Mohanganj, 2012-07-19, 
Jim Aikin, , Editor, , 
Kenneth Bulmer, 1921-01-14, , 2005-12-16, 
Kenneth Bulmer, 1921-01-14, , 2005-12-16, 
Brian Aldiss, 1925-08-18, East Dereham, , 
David M. Alexander, , , , 
Lloyd Alexander, January 30, 1924, Drexel Hill, May 17, 2007, 
Roger MacBride Allen, 1957-09-26, , , 
Hans Joachim Alpers, July 14, 1943, , February 16, 2011, 
Steve Alten, 1959-08-21, , , 
Genrich Altshuller, , , , 
Kingsley Amis, 1922-04-16, Angry Young Men, 1995-10-22, 
Paul Amnuél, , , , 
Kevin J. Anderson, 1962-03-27, , , 
Poul Anderson, November 25, 1926, , July 31, 2001, 
Patricia Anthony, January 3, 1947, , August 2, 2013, 
Piers Anthony, 1934-08-06, short story writer, , 
Christopher Anvil, March 11, 1925, , November 30, 2009, 
K. A. Applegate, 1956-10-09, adventure novels, , 
Rachel Cosgrove Payes, , , , 
Rachel Cosgrove Payes, , , , 
Eleanor Arnason, 1942-12-28, , , 
Robert Arthur Jr., November 10, 1909, Philadelphia, Pennsylvania, May 2, 1969, 
Catherine Asaro, 1955-11-06, UCLA, , 
Neal Asher, 1961-02-04, Essex, England, , 
Francis Leslie Ashton, 1904-06-24, Chapel en le Frith, , 
Isaac Asimov, June 17, 1922, hard SF, April 2, 2011, 
Janet Asimov, 1926-08-06, , , 
Nancy Asire, , , , 
Robert Asprin, June 28, 1946, New Orleans, Louisiana, May 22, 2008, 
A. A. Attanasio, 1951-09-20, , , 
Margaret Atwood, 1939-11-18, dystopian fiction, , 
Ayerdhal, , , 2016, 
Richard Bachman, , , , 
Stephen King, 1947-09-21, short story writer, , 
Paolo Bacigalupi, 1972-08-06, young-adult novels, , 
Hilary Bailey, , , , 
Robin Wayne Bailey, , , , 
Kage Baker, 1952-06-10, Hollywood, California, 2010-01-31, 
Scott Baker (writer), , , , 
J. G. Ballard, 1930-11-15, Queen Mary, University of London, 2009-04-19, 
Edwin Balmer, July 26, 1883, , March 21, 1959, 
Iain Banks, , , 2013-06-09, 
Raymond E. Banks, , , , 
Marek Baraniecki, , , , 
Miquel Barceló (writer), , , , 
René Barjavel, January 24, 1911, , November 24, 1985, 
Wayne Barlowe, 1958-01-06, , , 
Arthur K. Barnes, , , , 
John Barnes (author), , , , 
Steven Barnes, 1952-03-01, , , 
William Barnwell, , , , 
Donald Barr, , , , 
João Barreiros, , , , 
William Barton (writer), 1950-09-28, , , 
T. J. Bass, July 7, 1932, science fiction writer, December 13, 2011, 
Harry Bates (author), 1900-10-09, Pittsburgh, Pennsylvania, , 
L. Frank Baum, May 15, 1856, Forest Lawn Memorial Park, Glendale, May 6, 1919, 
John Baxter (author), , , , 
Stephen Baxter (author), 1957-11-13, , , 
Georgy Baydukov, , , 1994-12-28, 
Barrington J. Bayley, 1937-04-09, New Wave, 2008-10-14, 
Elizabeth Bear, 1971-09-22, The University of Connecticut, , 
Greg Bear, 1951-08-20, , , 
Jerome Beatty, Jr., , , , 
Charles Beaumont, January 2, 1929, Chicago, Illinois, February 21, 1967, 
Vladimir Beekman, , , , 
Alexander Belyaev, 1884-03-16, Pushkin, 1942-01-06, 
Ugo Bellagamba, , , , 
Edward Bellamy, March 26, 1850, , May 22, 1898, 
Andrei Belyanin, , , , 
Don Bendell, 1947-01-08, rancher, , 
Gregory Benford, 1941-01-30, Science Fiction, , 
J. D. Beresford, 1873-03-17, horror, 1947-02-01, 
Fyodor Berezin, 1960-02-07, USSR, , 
Cyrano de Bergerac, 1619-03-06, , 1655-07-28, 
Peter B. Germano, 1913-05-17, , 1983-09-20, 
Alfred Bester, 1913-12-18, Science fiction novels, 1987-09-30, 
Bruce Bethke, , , , 
Ambrose Bierce, 1842-06-24, First Lieutenant, , 
Lloyd Biggle, Jr., April 17, 1923, , September 12, 2002, 
Eando Binder, , , , 
John Birmingham, 1964-08-07, , , 
David Bischoff, 1951-12-15, , , 
Michael Bishop (author), 1945-11-12, American South, , 
Terry Bisson, 1942-02-12, , , 
Jerome Bixby, January 11, 1923, short-story, April 28, 1998, 
Malorie Blackman, 1962-02-08, , , 
Jayme Lynn Blaschke, , , , 
James Blaylock, 1950-09-20, , , 
James Blish, May 23, 1921, , July 30, 1975, 
Robert Bloch, April 5, 1917, Chicago, Illinois, September 23, 1994, 
Alexander Bogdanov, 1873-08-22, 4th, 1928-04-07, 
Maya Kaathryn Bohnhoff, , , , 
Nelson S. Bond, November 23, 1908, Nebula Author Emeritus, November 6, 2006, 
Kevin Bokeili, 1963-02-08, , , 
Pierre Bordage, 1955-01-29, , , 
Anthony Boucher, August 21, 1911, , April 29, 1968, 
Pierre Boulle, 1912-02-20, , 1994-01-30, 
Sydney James Bounds, November 4, 1920, , November 24, 2006, 
Ben Bova, 1932-11-08, short story author, , 
Leigh Brackett, December 7, 1915, , March 18, 1978, 
Ray Bradbury, 1920-08-22, Westwood Memorial Park, 2012-06-05, 
Marion Zimmer Bradley, June 3, 1930, , September 25, 1999, 
Gillian Bradshaw, , , , 
Mark Brandis, January 17, 1931, , December 27, 2000, 
Miles J. Breuer, January 3, 1889, , October 14, 1945, 
Reginald Bretnor, July 30, 1911, Russia, July 22, 1992, 
David Brin, 1950-10-06, , , 
Jason V Brock, 1970-03-01, Science Fiction, , 
Damien Broderick, , , , 
Kristi Brooks, , , , 
Max Brooks, 1972-05-22, New York City, New York, , 
Terry Brooks, 1944-01-08, , , 
John Brosnan, 1947-10-07, Perth, 2005-04-11, 
Eric Brown (writer), , , , 
